movie_id,genre_id
9070,14
68274,18
1642,80
1642,18
1642,28
11980,14
58372,14
58372,18
32646,18
10533,18
56088,99
10802,18
10149,18
9348,28
139408,18
281,80
281,18
5967,18
47939,18
47939,14
36834,18
3512,28
52856,18
52856,10751
77350,99
9560,18
9804,12
9804,28
31611,18
65796,28
49805,18
26258,12
26258,28
26258,80
26258,10751
50797,18
19155,18
76,18
37141,18
9382,18
6715,18
6715,10751
18256,18
22625,18
22625,10751
1909,18
8984,18
8984,80
4954,28
4954,12
62488,80
62488,14
10531,18
11929,80
11929,18
10451,18
20156,18
18395,80
522,18
10525,18
27985,28
27985,12
27985,18
27985,10751
15789,16
15789,10751
15789,12
27303,18
21183,18
21183,10751
21183,14
10954,18
47867,18
47867,10751
47867,14
43475,14
43475,16
43475,10751
72031,18
72031,28
72031,80
14275,99
1024,18
1024,14
17207,10751
13701,18
13701,10402
14819,10751
14819,18
32631,28
11777,18
87729,18
18713,80
6280,10751
9061,28
9061,18
37108,12
37108,14
37108,10751
6071,28
6071,80
6071,18
11,12
11,28
9587,18
19101,18
19101,10751
19101,14
49980,18
17961,80
17961,18
18183,18
4476,12
4476,18
11008,12
11008,10751
47504,28
47504,18
32325,80
32325,18
43742,18
28313,18
11318,18
3036,18
40490,28
40490,10751
24070,18
10510,14
10510,18
10510,10751
38722,18
8438,80
8438,18
11593,18
1945,18
39310,80
39310,18
109560,28
109560,80
109560,18
63105,28
131957,18
241,80
241,18
9058,18
527,18
18220,18
6950,28
6950,18
101,80
101,18
63020,18
2307,18
680,80
41478,18
25296,18
40156,18
11450,18
30304,18
10452,18
12106,28
161495,18
3586,18
110,18
108,18
108,10402
109,18
159185,18
36357,10751
92769,18
28033,18
22586,16
14334,18
14334,10751
14334,14
2636,28
2164,28
2164,12
11395,14
11395,18
11395,10751
278,18
278,80
9905,80
87078,18
12527,18
20306,80
36614,18
31439,18
9067,28
9067,14
193,28
193,12
25066,80
46797,18
32636,18
36141,80
95963,18
1587,18
9271,28
9271,80
2064,18
19855,18
236,18
48287,18
48287,10751
2759,18
12635,18
12635,10402
10497,18
11382,28
9331,28
9331,18
10731,18
10731,80
10464,18
10464,10751
34152,18
9495,14
9495,28
29973,18
888,14
888,10751
13,18
712,18
16295,18
16295,80
48992,18
10879,28
10660,18
10714,12
10714,18
10714,10751
41647,99
8587,10751
8587,16
8587,18
1689,18
11596,14
854,80
854,14
9359,28
9359,12
9359,18
23333,18
36593,80
12280,18
2788,18
10427,80
10427,18
11011,10751
49803,18
8987,28
8987,12
8987,80
1637,28
1637,12
1637,80
8831,28
8831,80
36955,28
10449,18
10395,14
12160,18
12160,28
40480,28
40480,80
52038,18
29444,18
26352,28
26352,80
39953,18
41580,18
315,28
315,80
22067,80
22067,18
18242,16
11667,28
11667,12
32502,28
28732,28
28732,12
28732,80
28732,18
42981,99
278939,12
278939,80
278939,18
291731,18
226229,28
316098,99
8011,28
8011,14
18069,18
19092,80
19092,18
2758,10751
2758,14
10436,18
13595,80
13595,10402
46094,10751
9409,28
11853,28
11853,12
11853,18
16771,18
46924,18
46924,14
306,28
306,80
14522,28
14522,12
14522,18
14522,10751
26203,80
26203,18
178,18
178,28
19819,18
57834,18
18215,18
1607,18
1607,80
117553,18
6075,28
6075,80
6075,18
11310,28
11310,18
9350,28
9350,12
9612,10751
2124,18
26261,28
26261,10751
19176,28
49299,18
9571,18
9739,80
9739,28
24257,99
34444,18
10997,18
50463,18
10443,18
16297,18
18551,18
37233,18
1634,10751
1634,12
13815,80
13815,18
5503,12
5503,28
5503,80
35588,28
35588,18
2087,18
2087,28
41579,10751
41579,80
18620,18
41006,18
4916,18
2019,28
2019,12
2019,80
31642,28
31642,18
9255,28
10612,18
2259,18
11934,18
106143,18
9386,28
9386,18
9386,80
7984,18
59930,18
15765,18
15765,10402
6,28
6,80
329,12
10909,80
507,28
507,80
507,18
34024,18
29918,28
29918,12
29918,18
29918,10751
9593,12
9593,14
9593,28
9593,10751
42580,10751
22317,28
1413,18
2246,18
2246,80
10502,18
9516,18
9516,28
9516,80
2320,28
2320,12
2320,18
5879,18
83718,18
11971,18
2625,18
788,18
788,10751
21450,18
11231,12
41588,18
10447,28
10447,18
31586,18
31586,10751
31586,14
9300,18
9300,14
9559,80
9559,18
9800,18
713,18
8291,18
18133,18
22588,80
22588,18
22588,10402
1245,18
7007,28
7007,18
5550,28
5550,12
5550,80
2088,28
2088,80
2088,18
10412,28
10412,18
47889,18
14534,18
56583,18
41878,18
424,18
35233,18
14291,18
103413,18
11236,18
11236,10751
11236,14
11592,80
8850,12
8850,14
8850,28
10445,18
695,18
43535,18
43535,10751
12519,18
23210,18
858,18
867,18
78,18
13203,18
10442,80
11074,80
11074,28
33367,18
9607,12
9607,10751
9607,14
17585,28
17585,12
17585,80
9057,28
20967,18
20967,10402
10635,18
10635,10751
9479,14
9479,16
9479,10751
10057,28
10057,12
11969,28
11969,12
11969,18
41590,18
41590,28
319,28
319,80
26408,99
15139,14
15139,10751
15139,16
161158,18
85247,18
11446,18
51980,18
11655,18
8223,18
14587,18
31504,10751
41653,18
53185,18
95743,18
17600,18
10897,10751
21352,18
21352,10751
21352,12
68806,80
68806,18
37345,18
32562,99
47507,18
25403,18
124304,18
771,10751
251,14
251,18
812,16
812,10751
812,12
812,14
280,28
581,12
581,18
80350,28
80350,18
268,14
268,28
274,80
274,18
408,14
408,16
408,10751
10020,10751
10020,16
10020,14
10020,10402
10895,16
10895,10751
41043,18
41043,14
576,12
15477,80
59146,18
261246,18
275,80
275,18
25059,12
25059,18
25059,10751
11827,16
47333,18
54850,18
10112,16
10112,10751
10112,12
4307,18
32308,10751
88893,12
88893,18
88893,99
52873,18
340210,28
340210,18
44281,18
28121,80
12520,80
12520,18
1592,80
1592,18
36447,18
19042,16
19042,10751
19042,12
19042,14
38884,18
36259,14
36259,10751
41852,18
40926,18
9099,10751
2021,18
10988,18
11479,12
11479,18
11479,10751
398959,18
12652,18
10684,18
954,12
954,28
68445,18
18989,18
8840,14
278978,18
124625,18
11107,28
16417,18
10363,80
10363,18
161070,18
10539,12
10539,16
10539,10751
10543,18
47502,80
47502,18
11902,18
27098,18
25087,28
5801,18
896,18
2300,16
2300,18
2300,10751
2300,14
288173,28
288173,18
27768,18
221917,18
8072,18
35797,18
88030,99
83857,18
33245,18
124460,18
27281,28
27281,12
27281,10751
105045,18
40001,18
29621,28
29621,12
117730,18
20762,28
37144,80
48260,80
48260,18
12656,28
12656,18
38867,18
25969,18
25969,10751
44103,18
753,18
43634,18
9103,28
9103,12
29649,18
10990,18
12233,16
12233,10751
36355,12
36355,10751
37667,18
90148,18
922,18
922,14
11876,12
11876,18
52633,28
52633,80
52633,18
11687,14
9304,14
73183,99
131232,18
9100,18
9100,14
20759,18
46063,18
32513,18
40651,16
40651,18
36915,18
40507,28
40507,18
40507,80
9802,28
9802,12
21588,14
21588,18
664,28
664,12
664,18
11867,28
47119,18
9323,28
9323,16
10535,28
124613,18
532,10751
532,16
26744,18
26744,28
26744,80
16299,10751
10547,28
245268,18
935,18
55613,18
55613,14
41007,18
35645,18
110465,10751
110465,12
255546,99
40751,18
40751,28
85778,99
11101,18
9826,12
9826,28
9879,18
9879,80
63564,18
22621,18
7095,18
26890,18
46732,18
46732,10751
124633,18
202425,10402
77771,18
181083,18
41225,18
87190,18
627,18
627,80
602,28
602,12
14553,18
9566,18
10545,18
10545,16
10545,10751
9894,18
9268,28
9268,18
52059,99
9327,14
123763,18
81949,18
44535,18
44495,18
11228,28
11228,12
26748,18
38223,18
38223,10751
9294,18
9294,14
49963,18
1645,80
1645,18
31546,18
36344,12
18550,28
11511,14
11511,10751
34170,10751
109478,28
124645,18
35206,12
35206,18
151489,18
4837,18
12632,18
282919,18
18975,16
18975,10751
18975,14
11962,14
11962,10402
28628,18
3595,28
18555,28
18555,18
12123,28
12123,18
10830,10751
10830,14
3573,18
10546,28
10546,14
18862,10751
31417,18
124619,18
46986,18
144982,18
47907,18
10061,28
10061,12
36266,80
36266,18
549,18
10478,18
66634,18
66634,10402
116690,18
213917,18
238,18
238,80
159,18
11134,28
11134,80
88224,18
132641,18
9303,80
9303,18
23945,10751
37820,18
22479,18
22479,10402
22479,80
9054,10751
11985,18
10232,18
59569,18
410921,28
410921,80
410921,18
38955,28
38955,12
38955,80
110513,18
114089,18
9306,14
12559,10751
58770,18
3587,14
3587,10751
10723,28
10723,12
56077,18
19004,16
19004,12
19004,10751
44705,18
20318,18
43596,18
79782,18
26933,18
27854,18
872,10402
2769,18
2769,10402
13320,10402
164,18
567,18
13528,18
13528,80
28288,10402
284,18
289,18
963,80
11113,18
11113,10751
11113,10402
6620,18
26531,18
26531,10751
909,10402
630,12
630,10751
630,14
770,18
31044,18
599,18
15,18
62,12
121357,12
705,18
22490,18
223,18
303,18
4174,18
8356,18
381,80
381,18
20758,18
20758,10751
29376,10402
18299,18
17281,10402
10907,28
10907,12
32093,28
32093,12
