movie_id,genre_id
40478,18
11047,16
6278,28
13757,10402
9707,14
8072,18
9922,12
9980,28
49920,18
8810,12
91,99
9516,18
42641,18
1580,18
344,28
1538,80
14030,10402
9610,28
12144,12
31995,12
14285,99
888,10751
629,18
202425,10402
547,18
21736,99
11837,18
661,18
771,10751
19414,10751
11212,10751
36709,12
55613,14
10495,10751
11046,18
16081,14
22617,18
10437,14
16560,18
10538,28
33625,28
22200,28
14336,99
44154,28
3175,18
11372,12
9880,10751
1924,28
31306,18
10643,12
44026,80
10501,10751
32087,28
11886,16
11244,28
46884,12
266741,10402
31581,28
43786,18
10215,14
49680,18
29735,18
26612,10751
18927,18
1375,18
2649,18
61401,99
15867,18
10361,18
74689,18
18828,28
11237,12
1946,28
26744,80
38772,18
34697,80
31675,18
51722,99
5967,18
18995,18
7442,80
26156,28
11422,18
8916,16
17832,12
7364,12
41938,80
12508,18
102304,18
22256,18
12129,10751
17905,28
21027,28
20540,18
27150,28
31548,10402
101383,99
36586,28
37797,18
71067,18
11688,12
9448,12
13482,18
10229,18
12625,12
37662,18
1639,12
1816,10402
45129,18
8214,18
52036,18
139405,10751
15045,10751
8046,18
64,18
9501,80
30055,99
21793,10751
51787,12
492,18
10949,12
24748,18
21027,12
43103,18
46088,18
13398,18
11028,28
4993,28
12655,28
68445,18
29723,18
19665,99
650,80
38884,18
12577,80
2109,28
11663,18
10950,18
27396,28
57240,28
10731,18
9434,28
43485,10402
14181,80
11113,18
4377,18
1846,80
87,12
1364,18
65994,28
10515,16
672,14
41426,18
818,80
9025,18
21032,10751
984,28
2005,10402
20649,80
98502,18
9495,14
667,28
13098,28
43516,18
21356,16
70368,18
641,18
17435,12
13155,12
97251,99
21512,12
990,18
31005,18
9416,12
31767,18
116345,18
29244,18
1900,80
10603,10751
22501,18
9631,28
16410,18
531,16
49235,80
26581,12
16222,18
40082,10402
9555,28
20481,18
946,18
25445,10751
184885,18
31083,18
21052,80
19176,28
10952,18
85837,18
11060,80
10409,18
37835,28
10150,16
88641,18
10871,12
1485,80
41577,28
